,id,shelf,shelf_name,division,book,book_name,page,path,formula,tabulated,num_n,num_k,wl_n_min,wl_n_max,wl_k_min,wl_k_max
21,21,main,MAIN - simple inorganic materials,Ar - Argon,Ar (Gas),Ar (Argon) (Gas),Cuthbertson,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Ar/Cuthbertson.yml,6,,0,0,0.48,0.6708,0.0,inf
22,22,main,MAIN - simple inorganic materials,Ar - Argon,Ar (Liquid),Ar (Argon) (Liquid),Sinnock-liquid-90K,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Ar/Sinnock-liquid-90K.yml,0,n,9,0,0.3612,0.6439,0.0,inf
23,23,main,MAIN - simple inorganic materials,Ar - Argon,Ar (Liquid),Ar (Argon) (Liquid),Sinnock-liquid-88K,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Ar/Sinnock-liquid-88K.yml,0,n,9,0,0.3612,0.6439,0.0,inf
24,24,main,MAIN - simple inorganic materials,Ar - Argon,Ar (Liquid),Ar (Argon) (Liquid),Sinnock-liquid-86K,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Ar/Sinnock-liquid-86K.yml,0,n,9,0,0.3612,0.6439,0.0,inf
25,25,main,MAIN - simple inorganic materials,Ar - Argon,Ar (Liquid),Ar (Argon) (Liquid),Sinnock-liquid-83.81K,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Ar/Sinnock-liquid-83.81K.yml,0,n,9,0,0.3612,0.6439,0.0,inf
26,26,main,MAIN - simple inorganic materials,Ar - Argon,Ar (Solid),Ar (Argon) (Solid),Sinnock-solid-83.81K,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Ar/Sinnock-solid-83.81K.yml,0,n,9,0,0.3612,0.6439,0.0,inf
27,27,main,MAIN - simple inorganic materials,Ar - Argon,Ar (Solid),Ar (Argon) (Solid),Sinnock-solid-80K,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Ar/Sinnock-solid-80K.yml,0,n,9,0,0.3612,0.6439,0.0,inf
28,28,main,MAIN - simple inorganic materials,Ar - Argon,Ar (Solid),Ar (Argon) (Solid),Sinnock-solid-70K,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Ar/Sinnock-solid-70K.yml,0,n,9,0,0.3612,0.6439,0.0,inf
29,29,main,MAIN - simple inorganic materials,Ar - Argon,Ar (Solid),Ar (Argon) (Solid),Sinnock-solid-60K,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Ar/Sinnock-solid-60K.yml,0,n,9,0,0.3612,0.6439,0.0,inf
30,30,main,MAIN - simple inorganic materials,Ar - Argon,Ar (Solid),Ar (Argon) (Solid),Sinnock-solid-50K,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Ar/Sinnock-solid-50K.yml,0,n,9,0,0.3612,0.6439,0.0,inf
31,31,main,MAIN - simple inorganic materials,Ar - Argon,Ar (Solid),Ar (Argon) (Solid),Sinnock-solid-40K,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Ar/Sinnock-solid-40K.yml,0,n,9,0,0.3612,0.6439,0.0,inf
32,32,main,MAIN - simple inorganic materials,Ar - Argon,Ar (Solid),Ar (Argon) (Solid),Sinnock-solid-30K,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Ar/Sinnock-solid-30K.yml,0,n,9,0,0.3612,0.6439,0.0,inf
33,33,main,MAIN - simple inorganic materials,Ar - Argon,Ar (Solid),Ar (Argon) (Solid),Sinnock-solid-20K,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Ar/Sinnock-solid-20K.yml,0,n,9,0,0.3612,0.6439,0.0,inf
34,34,main,MAIN - simple inorganic materials,As - Arsenides,AlAs,AlAs (Aluminium arsenide),Fern,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/AlAs/Fern.yml,1,,0,0,0.56,2.2,0.0,inf
35,35,main,MAIN - simple inorganic materials,As - Arsenides,GaAs,GaAs (Gallium arsenide),Aspnes,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/GaAs/Aspnes.yml,0,nk,46,46,0.2066,0.8266,0.2066,0.8266
36,36,main,MAIN - simple inorganic materials,As - Arsenides,GaAs,GaAs (Gallium arsenide),Skauli,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/GaAs/Skauli.yml,1,,0,0,0.97,17.0,0.0,inf
37,37,main,MAIN - simple inorganic materials,As - Arsenides,GaAs,GaAs (Gallium arsenide),Jellison,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/GaAs/Jellison.yml,0,nk,187,187,0.234,0.84,0.234,0.84
38,38,main,MAIN - simple inorganic materials,As - Arsenides,GaAs,GaAs (Gallium arsenide),Kachare,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/GaAs/Kachare.yml,1,,0,0,1.4,11.0,0.0,inf
