,id,shelf,shelf_name,division,book,book_name,page,path,formula,tabulated,num_n,num_k,wl_n_min,wl_n_max,wl_k_min,wl_k_max
349,349,main,MAIN - simple inorganic materials,P - Phosphides and phosphates,KTiOPO4,"KTiOPO<sub>4</sub> (Potassium titanyl phosphate, KTP)",Kato-β,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/KTiOPO4/Kato-beta.yml,4,,0,0,0.43,3.54,0.0,inf
350,350,main,MAIN - simple inorganic materials,P - Phosphides and phosphates,KTiOPO4,"KTiOPO<sub>4</sub> (Potassium titanyl phosphate, KTP)",Kato-γ,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/KTiOPO4/Kato-gamma.yml,4,,0,0,0.43,3.54,0.0,inf
351,351,main,MAIN - simple inorganic materials,P - Phosphides and phosphates,NH4H2PO4,"NH<sub>4</sub>H<sub>2</sub>PO<sub>4</sub> (Ammonium dihydrogen phosphate, ADP)",Zernike-o,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/NH4H2PO4/Zernike-o.yml,4,,0,0,0.2138,1.529,0.0,inf
352,352,main,MAIN - simple inorganic materials,P - Phosphides and phosphates,NH4H2PO4,"NH<sub>4</sub>H<sub>2</sub>PO<sub>4</sub> (Ammonium dihydrogen phosphate, ADP)",Zernike-e,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/NH4H2PO4/Zernike-e.yml,4,,0,0,0.2138,1.529,0.0,inf
353,353,main,MAIN - simple inorganic materials,P - Phosphides and phosphates,RbTiOPO4,"RbTiOPO<sub>4</sub> (Rubidium titanyl phosphate, RTP)",Carvajal-α,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/RbTiOPO4/Carvajal-alpha.yml,4,,0,0,0.4,1.5,0.0,inf
354,354,main,MAIN - simple inorganic materials,P - Phosphides and phosphates,RbTiOPO4,"RbTiOPO<sub>4</sub> (Rubidium titanyl phosphate, RTP)",Carvajal-β,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/RbTiOPO4/Carvajal-beta.yml,4,,0,0,0.4,1.5,0.0,inf
355,355,main,MAIN - simple inorganic materials,P - Phosphides and phosphates,RbTiOPO4,"RbTiOPO<sub>4</sub> (Rubidium titanyl phosphate, RTP)",Carvajal-γ,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/RbTiOPO4/Carvajal-gamma.yml,4,,0,0,0.4,1.5,0.0,inf
356,356,main,MAIN - simple inorganic materials,Pb - Lead,Pb,Pb (Lead),Werner,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Pb/Werner.yml,0,nk,150,150,0.017586,2.479684,0.017586,2.479684
357,357,main,MAIN - simple inorganic materials,Pb - Lead,Pb,Pb (Lead),Werner-DFT,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Pb/Werner-DFT.yml,0,nk,150,150,0.017586,2.479684,0.017586,2.479684
358,358,main,MAIN - simple inorganic materials,Pb - Lead,Pb,Pb (Lead),Ordal,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Pb/Ordal.yml,0,nk,52,52,0.667,667.0,0.667,667.0
359,359,main,MAIN - simple inorganic materials,Pb - Lead,Pb,Pb (Lead),Golovashkin-293,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Pb/Golovashkin-293.yml,0,nk,72,72,0.45,12.0,0.45,12.0
360,360,main,MAIN - simple inorganic materials,Pb - Lead,Pb,Pb (Lead),Golovashkin-78,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Pb/Golovashkin-78.yml,0,nk,73,73,0.45,12.0,0.45,12.0
361,361,main,MAIN - simple inorganic materials,Pb - Lead,Pb,Pb (Lead),Golovashkin-4.2,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Pb/Golovashkin-4.2.yml,0,nk,70,70,0.54,12.0,0.54,12.0
362,362,main,MAIN - simple inorganic materials,Pd - Palladium,Pd,Pd (Palladium),Rakic,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Pd/Rakic.yml,0,nk,200,200,0.20664,12.398,0.20664,12.398
363,363,main,MAIN - simple inorganic materials,Pd - Palladium,Pd,Pd (Palladium),Werner,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Pd/Werner.yml,0,nk,150,150,0.017586,2.479684,0.017586,2.479684
364,364,main,MAIN - simple inorganic materials,Pd - Palladium,Pd,Pd (Palladium),Werner-DFT,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Pd/Werner-DFT.yml,0,nk,150,150,0.017586,2.479684,0.017586,2.479684
365,365,main,MAIN - simple inorganic materials,Pd - Palladium,Pd,Pd (Palladium),Windt,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Pd/Windt.yml,0,nk,36,36,0.00236,0.12157,0.00236,0.12157
366,366,main,MAIN - simple inorganic materials,Pd - Palladium,Pd,Pd (Palladium),Johnson,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Pd/Johnson.yml,0,nk,49,49,0.188,1.937,0.188,1.937
367,367,main,MAIN - simple inorganic materials,Pr - Praseodymium,Pr,Pr (Praseodymium),Fernandez-Perea,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Pr/Fernandez-Perea.yml,0,nk,1594,1594,0.000774901,0.323113894,0.000774901,0.323113894
368,368,main,MAIN - simple inorganic materials,Pt - Platinum,Pt,Pt (Platinum),Rakic,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Pt/Rakic.yml,0,nk,200,200,0.20664,12.398,0.20664,12.398
369,369,main,MAIN - simple inorganic materials,Pt - Platinum,Pt,Pt (Platinum),Werner,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Pt/Werner.yml,0,nk,150,150,0.017586,2.479684,0.017586,2.479684
370,370,main,MAIN - simple inorganic materials,Pt - Platinum,Pt,Pt (Platinum),Werner-DFT,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Pt/Werner-DFT.yml,0,nk,150,150,0.017586,2.479684,0.017586,2.479684
371,371,main,MAIN - simple inorganic materials,Pt - Platinum,Pt,Pt (Platinum),Windt,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Pt/Windt.yml,0,nk,36,36,0.00236,0.12157,0.00236,0.12157
372,372,main,MAIN - simple inorganic materials,Re - Rhenium,Re,Re (Rhenium),Windt,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Re/Windt.yml,0,nk,35,35,0.00236,0.12157,0.00236,0.12157
373,373,main,MAIN - simple inorganic materials,Rh - Rhodium,Rh,Rh (Rhodium),Windt,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Rh/Windt.yml,0,nk,36,36,0.00236,0.12157,0.00236,0.12157
374,374,main,MAIN - simple inorganic materials,Rh - Rhodium,Rh,Rh (Rhodium),Arndt,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Rh/Arndt.yml,0,nk,8,8,0.4,0.75,0.4,0.75
375,375,main,MAIN - simple inorganic materials,Rh - Rhodium,Rh,Rh (Rhodium),Weaver,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Rh/Weaver.yml,0,nk,67,67,0.2,12.4,0.2,12.4
376,376,main,MAIN - simple inorganic materials,Rh - Rhodium,Rh,Rh (Rhodium),Coulter-40,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Rh/Coulter-40.yml,0,nk,6,6,0.4047,0.612,0.4047,0.612
377,377,main,MAIN - simple inorganic materials,Rh - Rhodium,Rh,Rh (Rhodium),Coulter-300,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Rh/Coulter-300.yml,0,nk,6,6,0.4047,0.612,0.4047,0.612
378,378,main,MAIN - simple inorganic materials,Ru - Ruthenium,Ru,Ru (Ruthenium),Windt,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Ru/Windt.yml,0,nk,36,36,0.00236,0.12157,0.00236,0.12157
379,379,main,MAIN - simple inorganic materials,S - Sulfides,Ag3AsS3,Ag<sub>3</sub>AsS<sub>3</sub> (Silver arsenic sulfide),Hulme-o,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Ag3AsS3/Hulme-o.yml,4,,0,0,0.63,4.6,0.0,inf
380,380,main,MAIN - simple inorganic materials,S - Sulfides,Ag3AsS3,Ag<sub>3</sub>AsS<sub>3</sub> (Silver arsenic sulfide),Hulme-e,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Ag3AsS3/Hulme-e.yml,4,,0,0,0.59,4.6,0.0,inf
381,381,main,MAIN - simple inorganic materials,S - Sulfides,AgGaS2,"AgGaS<sub>2</sub> (Silver gallium sulfide, AGS)",Takaoka-o,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/AgGaS2/Takaoka-o.yml,4,,0,0,0.58,10.59,0.0,inf
382,382,main,MAIN - simple inorganic materials,S - Sulfides,AgGaS2,"AgGaS<sub>2</sub> (Silver gallium sulfide, AGS)",Takaoka-e,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/AgGaS2/Takaoka-e.yml,4,,0,0,0.58,10.59,0.0,inf
383,383,main,MAIN - simple inorganic materials,S - Sulfides,AgGaS2,"AgGaS<sub>2</sub> (Silver gallium sulfide, AGS)",Kato-o,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/AgGaS2/Kato-o.yml,4,,0,0,0.54,12.9,0.0,inf
384,384,main,MAIN - simple inorganic materials,S - Sulfides,AgGaS2,"AgGaS<sub>2</sub> (Silver gallium sulfide, AGS)",Kato-e,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/AgGaS2/Kato-e.yml,4,,0,0,0.54,12.9,0.0,inf
385,385,main,MAIN - simple inorganic materials,S - Sulfides,AgGaS2,"AgGaS<sub>2</sub> (Silver gallium sulfide, AGS)",Boyd-o,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/AgGaS2/Boyd-o.yml,2,,0,0,0.49,12.0,0.0,inf
386,386,main,MAIN - simple inorganic materials,S - Sulfides,AgGaS2,"AgGaS<sub>2</sub> (Silver gallium sulfide, AGS)",Boyd-e,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/AgGaS2/Boyd-e.yml,2,,0,0,0.49,12.0,0.0,inf
387,387,main,MAIN - simple inorganic materials,S - Sulfides,As2S3,As<sub>2</sub>S<sub>3</sub> (Arsenic trisulfide),Rodney,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/As2S3/Rodney.yml,2,,0,0,0.57,11.8,0.0,inf
388,388,main,MAIN - simple inorganic materials,S - Sulfides,CS2,CS<sub>2</sub> (Carbon disulfide),Kedenburg,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/CS2/Kedenburg.yml,2,,0,0,0.5,1.6,0.0,inf
389,389,main,MAIN - simple inorganic materials,S - Sulfides,CS2,CS<sub>2</sub> (Carbon disulfide),Ghosal,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/CS2/Ghosal.yml,0,n,36,0,7.3,11.0,0.0,inf
390,390,main,MAIN - simple inorganic materials,S - Sulfides,CdS,CdS (Cadmium sulfide),Treharne,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/CdS/Treharne.yml,0,nk,583,583,0.30141754,1.4979382,0.30141754,1.4979382
391,391,main,MAIN - simple inorganic materials,S - Sulfides,CdS,CdS (Cadmium sulfide),Bieniewski-o,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/CdS/Bieniewski-o.yml,4,,0,0,0.51,1.4,0.0,inf
392,392,main,MAIN - simple inorganic materials,S - Sulfides,CdS,CdS (Cadmium sulfide),Bieniewski-e,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/CdS/Bieniewski-e.yml,4,,0,0,0.51,1.4,0.0,inf
393,393,main,MAIN - simple inorganic materials,S - Sulfides,CuGaS2,CuGaS<sub>2</sub> (Copper gallium sulfide),Boyd-20-o,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/CuGaS2/Boyd-20-o.yml,2,,0,0,0.55,11.5,0.0,inf
394,394,main,MAIN - simple inorganic materials,S - Sulfides,CuGaS2,CuGaS<sub>2</sub> (Copper gallium sulfide),Boyd-20-e,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/CuGaS2/Boyd-20-e.yml,2,,0,0,0.55,11.5,0.0,inf
395,395,main,MAIN - simple inorganic materials,S - Sulfides,CuGaS2,CuGaS<sub>2</sub> (Copper gallium sulfide),Boyd-120-o,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/CuGaS2/Boyd-120-o.yml,2,,0,0,0.55,11.5,0.0,inf
396,396,main,MAIN - simple inorganic materials,S - Sulfides,CuGaS2,CuGaS<sub>2</sub> (Copper gallium sulfide),Boyd-120-e,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/CuGaS2/Boyd-120-e.yml,2,,0,0,0.55,11.5,0.0,inf
397,397,main,MAIN - simple inorganic materials,S - Sulfides,GaS,GaS (Gallium sulfide),Kato-o,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/GaS/Kato-o.yml,4,,0,0,0.633,10.591,0.0,inf
398,398,main,MAIN - simple inorganic materials,S - Sulfides,GaS,GaS (Gallium sulfide),Kato-e,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/GaS/Kato-e.yml,4,,0,0,0.633,10.591,0.0,inf
399,399,main,MAIN - simple inorganic materials,S - Sulfides,HgS,HgS (Mercury sulfide),Bond-o,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/HgS/Bond-o.yml,2,,0,0,0.62,11.0,0.0,inf
400,400,main,MAIN - simple inorganic materials,S - Sulfides,HgS,HgS (Mercury sulfide),Bond-e,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/HgS/Bond-e.yml,2,,0,0,0.62,11.0,0.0,inf
401,401,main,MAIN - simple inorganic materials,S - Sulfides,MoS2,MoS<sub>2</sub> (Molybdenum disulfide),Yim-1.99um,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/MoS2/Yim-1.99um.yml,0,nk,18,22,0.382448,0.886647,0.382159,0.894152
402,402,main,MAIN - simple inorganic materials,S - Sulfides,MoS2,MoS<sub>2</sub> (Molybdenum disulfide),Yim-3.01um,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/MoS2/Yim-3.01um.yml,0,nk,16,18,0.382417,0.888102,0.382127,0.887428
403,403,main,MAIN - simple inorganic materials,S - Sulfides,MoS2,MoS<sub>2</sub> (Molybdenum disulfide),Yim-19.88um,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/MoS2/Yim-19.88um.yml,0,nk,15,17,0.381514,0.884671,0.382938,0.889147
404,404,main,MAIN - simple inorganic materials,S - Sulfides,MoS2,MoS<sub>2</sub> (Molybdenum disulfide),Zhang,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/MoS2/Zhang.yml,0,nk,26,28,0.401666,0.747766,0.400132,0.745343
405,405,main,MAIN - simple inorganic materials,S - Sulfides,MoS2,MoS<sub>2</sub> (Molybdenum disulfide),Beal,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/MoS2/Beal.yml,0,nk,100,100,0.0811,1.236,0.0811,1.236
406,406,main,MAIN - simple inorganic materials,S - Sulfides,PbS,PbS (Lead sulfide),Zemel,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/PbS/Zemel.yml,1,,0,0,3.5,10.0,0.0,inf
407,407,main,MAIN - simple inorganic materials,S - Sulfides,ZnS,ZnS (Zinc sulfide),Debenham,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/ZnS/Debenham.yml,4,,0,0,0.405,13.0,0.0,inf
408,408,main,MAIN - simple inorganic materials,Sb - Antimonides,AlSb,AlSb (Aluminium antimonide),Zollner,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/AlSb/Zollner.yml,0,nk,45,45,0.2138,0.8856,0.2138,0.8856
409,409,main,MAIN - simple inorganic materials,Sb - Antimonides,GaSb,GaSb (Gallium antimonide),Aspnes,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/GaSb/Aspnes.yml,0,nk,46,46,0.2066,0.8266,0.2066,0.8266
410,410,main,MAIN - simple inorganic materials,Sb - Antimonides,GaSb,GaSb (Gallium antimonide),Ferrini,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/other/semiconductor alloys/AlSb-GaSb/Ferrini-0.yml,0,nk,56,56,0.207,2.48,0.207,2.48
411,411,main,MAIN - simple inorganic materials,Sb - Antimonides,InSb,InSb (Indium antimonide),Aspnes,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/InSb/Aspnes.yml,0,nk,46,46,0.2066,0.8266,0.2066,0.8266
412,412,main,MAIN - simple inorganic materials,Sc - Scandium,Sc,Sc (Scandium),Larruquert,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Sc/Larruquert.yml,0,nk,373,373,0.001239842,0.189781921,0.001239842,0.189781921
413,413,main,MAIN - simple inorganic materials,Se - Selenium and selenides,Se,Se (Selenium),Campel-o,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Se/Campel-o.yml,0,n,4,0,1.06,10.6,0.0,inf
414,414,main,MAIN - simple inorganic materials,Se - Selenium and selenides,Se,Se (Selenium),Campel-e,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Se/Campel-e.yml,0,n,4,0,1.06,10.6,0.0,inf
415,415,main,MAIN - simple inorganic materials,Se - Selenium and selenides,CdSe,CdSe (Cadmium selenide),Lisitsa-o,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/CdSe/Lisitsa-o.yml,2,,0,0,1.01,22.0,0.0,inf
416,416,main,MAIN - simple inorganic materials,Se - Selenium and selenides,CdSe,CdSe (Cadmium selenide),Lisitsa-e,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/CdSe/Lisitsa-e.yml,2,,0,0,1.01,22.0,0.0,inf
417,417,main,MAIN - simple inorganic materials,Se - Selenium and selenides,GaSe,GaSe (Gallium selenide),Kato-o,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/GaSe/Kato-o.yml,4,,0,0,0.8,1620.0,0.0,inf
418,418,main,MAIN - simple inorganic materials,Se - Selenium and selenides,GaSe,GaSe (Gallium selenide),Kato-e,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/GaSe/Kato-e.yml,4,,0,0,0.8,1620.0,0.0,inf
419,419,main,MAIN - simple inorganic materials,Se - Selenium and selenides,MoSe2,MoSe<sub>2</sub> (Molybdenum diselenide),Beal,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/MoSe2/Beal.yml,0,nk,100,100,0.04387,1.161,0.04387,1.161
420,420,main,MAIN - simple inorganic materials,Se - Selenium and selenides,PbSe,PbSe (Lead selenide),Zemel,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/PbSe/Zemel.yml,1,,0,0,5.0,10.0,0.0,inf
421,421,main,MAIN - simple inorganic materials,Se - Selenium and selenides,ZnSe,ZnSe (Zinc selenide),Connolly,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/ZnSe/Connolly.yml,1,,0,0,0.54,18.2,0.0,inf
422,422,main,MAIN - simple inorganic materials,Se - Selenium and selenides,ZnSe,ZnSe (Zinc selenide),Marple,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/ZnSe/Marple.yml,2,,0,0,0.48,2.5,0.0,inf
423,423,main,MAIN - simple inorganic materials,Se - Selenium and selenides,AgGaSe2,"AgGaSe<sub>2</sub> (Silver gallium selenide, AGSe)",Harasaki-o,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/AgGaSe2/Harasaki-o.yml,4,,0,0,0.81,16.0,0.0,inf
424,424,main,MAIN - simple inorganic materials,Se - Selenium and selenides,AgGaSe2,"AgGaSe<sub>2</sub> (Silver gallium selenide, AGSe)",Harasaki-e,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/AgGaSe2/Harasaki-e.yml,4,,0,0,0.81,16.0,0.0,inf
425,425,main,MAIN - simple inorganic materials,Se - Selenium and selenides,AgGaSe2,"AgGaSe<sub>2</sub> (Silver gallium selenide, AGSe)",Boyd-o,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/AgGaSe2/Boyd-o.yml,2,,0,0,0.725,13.5,0.0,inf
426,426,main,MAIN - simple inorganic materials,Se - Selenium and selenides,AgGaSe2,"AgGaSe<sub>2</sub> (Silver gallium selenide, AGSe)",Boyd-e,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/AgGaSe2/Boyd-e.yml,2,,0,0,0.725,13.5,0.0,inf
427,427,main,MAIN - simple inorganic materials,Se - Selenium and selenides,Tl3AsSe3,"Tl<sub>3</sub>AsSe<sub>3</sub> (Thallium arsenic selenide, TAS)",Ewbank-o,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Tl3AsSe3/Ewbank-o.yml,1,,0,0,2.0,12.0,0.0,inf
428,428,main,MAIN - simple inorganic materials,Se - Selenium and selenides,Tl3AsSe3,"Tl<sub>3</sub>AsSe<sub>3</sub> (Thallium arsenic selenide, TAS)",Ewbank-e,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Tl3AsSe3/Ewbank-e.yml,1,,0,0,2.0,12.0,0.0,inf
429,429,main,MAIN - simple inorganic materials,"Si - Silicon, silicides and silicates",Si (Crystalline silicon),Si (Silicon) (Crystalline silicon),Aspnes,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Si/Aspnes.yml,0,nk,46,46,0.2066,0.8266,0.2066,0.8266
430,430,main,MAIN - simple inorganic materials,"Si - Silicon, silicides and silicates",Si (Crystalline silicon),Si (Silicon) (Crystalline silicon),Chandler-Horowitz,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Si/Chandler-Horowitz.yml,4,k,0,586,2.5,22.222,6.25,23.255814
431,431,main,MAIN - simple inorganic materials,"Si - Silicon, silicides and silicates",Si (Crystalline silicon),Si (Silicon) (Crystalline silicon),Green,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Si/Green.yml,0,nk,121,76,0.25,1.45,0.25,1.0
432,432,main,MAIN - simple inorganic materials,"Si - Silicon, silicides and silicates",Si (Crystalline silicon),Si (Silicon) (Crystalline silicon),Vuye-20C,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Si/Vuye-20C.yml,0,nk,129,129,0.2638,0.8266,0.2638,0.8266
433,433,main,MAIN - simple inorganic materials,"Si - Silicon, silicides and silicates",Si (Crystalline silicon),Si (Silicon) (Crystalline silicon),Vuye-100C,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Si/Vuye-100C.yml,0,nk,129,129,0.2638,0.8266,0.2638,0.8266
434,434,main,MAIN - simple inorganic materials,"Si - Silicon, silicides and silicates",Si (Crystalline silicon),Si (Silicon) (Crystalline silicon),Vuye-150C,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Si/Vuye-150C.yml,0,nk,129,129,0.2638,0.8266,0.2638,0.8266
435,435,main,MAIN - simple inorganic materials,"Si - Silicon, silicides and silicates",Si (Crystalline silicon),Si (Silicon) (Crystalline silicon),Vuye-200C,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Si/Vuye-200C.yml,0,nk,129,129,0.2638,0.8266,0.2638,0.8266
436,436,main,MAIN - simple inorganic materials,"Si - Silicon, silicides and silicates",Si (Crystalline silicon),Si (Silicon) (Crystalline silicon),Vuye-250C,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Si/Vuye-250C.yml,0,nk,129,129,0.2638,0.8266,0.2638,0.8266
437,437,main,MAIN - simple inorganic materials,"Si - Silicon, silicides and silicates",Si (Crystalline silicon),Si (Silicon) (Crystalline silicon),Vuye-300C,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Si/Vuye-300C.yml,0,nk,129,129,0.2638,0.8266,0.2638,0.8266
438,438,main,MAIN - simple inorganic materials,"Si - Silicon, silicides and silicates",Si (Crystalline silicon),Si (Silicon) (Crystalline silicon),Vuye-350C,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Si/Vuye-350C.yml,0,nk,129,129,0.2638,0.8266,0.2638,0.8266
439,439,main,MAIN - simple inorganic materials,"Si - Silicon, silicides and silicates",Si (Crystalline silicon),Si (Silicon) (Crystalline silicon),Vuye-400C,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Si/Vuye-400C.yml,0,nk,129,129,0.2638,0.8266,0.2638,0.8266
440,440,main,MAIN - simple inorganic materials,"Si - Silicon, silicides and silicates",Si (Crystalline silicon),Si (Silicon) (Crystalline silicon),Vuye-450C,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Si/Vuye-450C.yml,0,nk,129,129,0.2638,0.8266,0.2638,0.8266
441,441,main,MAIN - simple inorganic materials,"Si - Silicon, silicides and silicates",Si (Crystalline silicon),Si (Silicon) (Crystalline silicon),Jellison,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Si/Jellison.yml,0,nk,186,186,0.234,0.84,0.234,0.84
442,442,main,MAIN - simple inorganic materials,"Si - Silicon, silicides and silicates",Si (Crystalline silicon),Si (Silicon) (Crystalline silicon),Edwards,/home/mnishida/usr/lib/site-packages/RII_Pandas/data/refractiveindex.info-database/database/main/Si/Edwards.yml,7,,0,0,2.4373,25.0,0.0,inf
