id,shelf,shelf_name,division,book,book_name,section,page,path,formula,tabulated,num_n,num_k,wl_n_min,wl_n_max,wl_k_min,wl_k_max,wl_min,wl_max
19,main,MAIN - simple inorganic materials,Ag - Silver,Ag,Ag (Silver),Models and simulations,Rakic-LD,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/Ag/Rakic-LD.yml,0,nk,200,200,0.24797,12.398,0.24797,12.398,0.24797,12.398
20,main,MAIN - simple inorganic materials,Ag - Silver,Ag,Ag (Silver),Models and simulations,Werner-DFT,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/Ag/Werner-DFT.yml,0,nk,150,150,0.017586,2.479684,0.017586,2.479684,0.017586,2.479684
21,main,MAIN - simple inorganic materials,Al - Aluminium and aluminates,Al,Al (Aluminium),Experimental data,Rakic,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/Al/Rakic.yml,0,nk,206,206,0.00012399,200.0,0.00012399,200.0,0.00012399,200.0
22,main,MAIN - simple inorganic materials,Al - Aluminium and aluminates,Al,Al (Aluminium),Experimental data,Cheng,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/Al/Cheng.yml,0,nk,427,427,0.22543,0.99987,0.22543,0.99987,0.22543,0.99987
23,main,MAIN - simple inorganic materials,Al - Aluminium and aluminates,Al,Al (Aluminium),Experimental data,McPeak,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/Al/McPeak.yml,0,nk,297,297,0.15,1.7,0.15,1.7,0.15,1.7
24,main,MAIN - simple inorganic materials,Al - Aluminium and aluminates,Al,Al (Aluminium),Experimental data,Larruquert,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/Al/Larruquert.yml,0,nk,13,13,0.077,0.1135,0.077,0.1135,0.077,0.1135
25,main,MAIN - simple inorganic materials,Al - Aluminium and aluminates,Al,Al (Aluminium),Experimental data,Ordal,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/Al/Ordal.yml,0,nk,51,51,0.667,200.0,0.667,200.0,0.667,200.0
26,main,MAIN - simple inorganic materials,Al - Aluminium and aluminates,Al,Al (Aluminium),Experimental data,Hagemann,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/Al/Hagemann.yml,0,nk,148,148,1.033e-05,1240.0,1.033e-05,1240.0,1.033e-05,1240.0
27,main,MAIN - simple inorganic materials,Al - Aluminium and aluminates,Al,Al (Aluminium),Experimental data,Mathewson,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/Al/Mathewson.yml,0,nk,37,37,0.49594,1.7712,0.49594,1.7712,0.49594,1.7712
28,main,MAIN - simple inorganic materials,Al - Aluminium and aluminates,Al,Al (Aluminium),Models and simulations,Rakic-BB,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/Al/Rakic-BB.yml,0,nk,200,200,0.061992,247.97,0.061992,247.97,0.061992,247.97
29,main,MAIN - simple inorganic materials,Al - Aluminium and aluminates,Al,Al (Aluminium),Models and simulations,Rakic-LD,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/Al/Rakic-LD.yml,0,nk,1000,1000,0.061992,247.97,0.061992,247.97,0.061992,247.97
30,main,MAIN - simple inorganic materials,Al - Aluminium and aluminates,BeAl2O4,"BeAl<sub>2</sub>O<sub>4</sub> (Beryllium aluminate, chrysoberyl)",,Walling-α,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/BeAl2O4/Walling-alpha.yml,4,f,0,0,0.25,2.6,0.25,2.6,0.25,2.6
31,main,MAIN - simple inorganic materials,Al - Aluminium and aluminates,BeAl2O4,"BeAl<sub>2</sub>O<sub>4</sub> (Beryllium aluminate, chrysoberyl)",,Walling-β,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/BeAl2O4/Walling-beta.yml,4,f,0,0,0.25,2.6,0.25,2.6,0.25,2.6
32,main,MAIN - simple inorganic materials,Al - Aluminium and aluminates,BeAl2O4,"BeAl<sub>2</sub>O<sub>4</sub> (Beryllium aluminate, chrysoberyl)",,Walling-γ,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/BeAl2O4/Walling-gamma.yml,4,f,0,0,0.25,2.6,0.25,2.6,0.25,2.6
33,main,MAIN - simple inorganic materials,Al - Aluminium and aluminates,BeAl6O10,"BeAl<sub>6</sub>O<sub>10</sub> (Beryllium hexaaluminate, BHA)",,Pestryakov-α,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/BeAl6O10/Pestryakov-alpha.yml,3,f,0,0,0.43,1.1,0.43,1.1,0.43,1.1
34,main,MAIN - simple inorganic materials,Al - Aluminium and aluminates,BeAl6O10,"BeAl<sub>6</sub>O<sub>10</sub> (Beryllium hexaaluminate, BHA)",,Pestryakov-β,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/BeAl6O10/Pestryakov-beta.yml,3,f,0,0,0.43,1.1,0.43,1.1,0.43,1.1
35,main,MAIN - simple inorganic materials,Al - Aluminium and aluminates,BeAl6O10,"BeAl<sub>6</sub>O<sub>10</sub> (Beryllium hexaaluminate, BHA)",,Pestryakov-γ,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/BeAl6O10/Pestryakov-gamma.yml,3,f,0,0,0.43,1.1,0.43,1.1,0.43,1.1
36,main,MAIN - simple inorganic materials,Al - Aluminium and aluminates,CaGdAlO4,"CaGdAlO<sub>4</sub> (Calcium gadolinium aluminate, CALGO)",,Loiko-o,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/CaGdAlO4/Loiko-o.yml,4,f,0,0,0.35,2.1,0.35,2.1,0.35,2.1
37,main,MAIN - simple inorganic materials,Al - Aluminium and aluminates,CaGdAlO4,"CaGdAlO<sub>4</sub> (Calcium gadolinium aluminate, CALGO)",,Loiko-e,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/CaGdAlO4/Loiko-e.yml,4,f,0,0,0.35,2.1,0.35,2.1,0.35,2.1
38,main,MAIN - simple inorganic materials,Al - Aluminium and aluminates,CaYAlO4,"CaYAlO<sub>4</sub> (Calcium yttrium aluminate, CALYO)",,Loiko-o,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/CaYAlO4/Loiko-o.yml,4,f,0,0,0.35,2.1,0.35,2.1,0.35,2.1
39,main,MAIN - simple inorganic materials,Al - Aluminium and aluminates,CaYAlO4,"CaYAlO<sub>4</sub> (Calcium yttrium aluminate, CALYO)",,Loiko-e,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/CaYAlO4/Loiko-e.yml,4,f,0,0,0.35,2.1,0.35,2.1,0.35,2.1
40,main,MAIN - simple inorganic materials,Al - Aluminium and aluminates,Lu3Al5O12,"Lu<sub>3</sub>Al<sub>5</sub>O<sub>12</sub> (Lutetium aluminium garnet, LuAG)",,Hrabovsky,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/Lu3Al5O12/Hrabovsky.yml,4,f,0,0,0.193,1.69,0.193,1.69,0.193,1.69
41,main,MAIN - simple inorganic materials,Al - Aluminium and aluminates,MgAl2O4,"MgAl<sub>2</sub>O<sub>4</sub> (Magnesium aluminate, spinel)",,Tropf,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/MgAl2O4/Tropf.yml,1,f,0,0,0.35,5.5,0.35,5.5,0.35,5.5
42,main,MAIN - simple inorganic materials,Al - Aluminium and aluminates,Y3Al5O12,"Y<sub>3</sub>Al<sub>5</sub>O<sub>12</sub> (Yttrium aluminium garnet, YAG)",,Zelmon,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/Y3Al5O12/Zelmon.yml,2,f,0,0,0.4,5.0,0.4,5.0,0.4,5.0
43,main,MAIN - simple inorganic materials,Al - Aluminium and aluminates,Y3Al5O12,"Y<sub>3</sub>Al<sub>5</sub>O<sub>12</sub> (Yttrium aluminium garnet, YAG)",,Hrabovsky,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/Y3Al5O12/Hrabovsky.yml,4,f,0,0,0.193,1.69,0.193,1.69,0.193,1.69
44,main,MAIN - simple inorganic materials,Ar - Argon,Ar,Ar (Argon),Gas,Bideau-Mehu,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/Ar/Bideau-Mehu.yml,6,f,0,0,0.1404,0.5677,0.1404,0.5677,0.1404,0.5677
45,main,MAIN - simple inorganic materials,Ar - Argon,Ar,Ar (Argon),Gas,Borzsonyi,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/Ar/Borzsonyi.yml,2,f,0,0,0.4,1.0,0.4,1.0,0.4,1.0
46,main,MAIN - simple inorganic materials,Ar - Argon,Ar,Ar (Argon),Gas,Peck-0C,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/Ar/Peck-0C.yml,6,f,0,0,0.4679,2.0587,0.4679,2.0587,0.4679,2.0587
47,main,MAIN - simple inorganic materials,Ar - Argon,Ar,Ar (Argon),Gas,Peck-15C,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/Ar/Peck-15C.yml,6,f,0,0,0.4679,2.0587,0.4679,2.0587,0.4679,2.0587
48,main,MAIN - simple inorganic materials,Ar - Argon,Ar,Ar (Argon),Gas,Larsen,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/Ar/Larsen.yml,0,n,17,0,0.230283,0.56774,0.230283,0.56774,0.230283,0.56774
49,main,MAIN - simple inorganic materials,Ar - Argon,Ar,Ar (Argon),Gas,Cuthbertson,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/Ar/Cuthbertson.yml,6,f,0,0,0.48,0.6708,0.48,0.6708,0.48,0.6708
50,main,MAIN - simple inorganic materials,Ar - Argon,Ar,Ar (Argon),Liquid,Sinnock-liquid-90K,/home/mnishida/usr/lib/RII_Pandas/src/riip/data/refractiveindex.info-database/database/data-nk/main/Ar/Sinnock-liquid-90K.yml,0,n,9,0,0.3612,0.6439,0.3612,0.6439,0.3612,0.6439
